 ******************************************
 *                                        *
 *               <<< EH >>>               *
 *                                        *
 ******************************************
 * Stress and strain distributions around *
 * circular holes in infinite ortotropic  *
 * plates                                 *
 ******************************************

 Example 3: Program EH
 Stresses/Strains Around a Hole in an infinite orthotropic plate
 Input 3: Mean properties of the plate
 4 Load Cases


                     MEAN LAMINATE PROPERTIES               
       =====================================================
           Ex            Ey            Gxy           µxy
       ===========   ===========   ===========   ===========
        9.0051E+04    5.3675E+04    1.2055E+04    2.2000E-01



 Load case:   1
 ==============

                      X-Stress      Y-Stress     XY-Stress
                     ===========   ===========   ===========
                      1.0000E+02   -5.0000E+01   -1.0000E+02

 Ang      Sigma       X-Stress      Y-Stress      XY-Stress     X-Strain      Y-Strain      XY-Strain     Eps-Circ       Eps-Rad     Eps-RadCirc
 ===   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========   ===========
   0   -2.4694E+02    0.0000E+00   -2.4694E+02    0.0000E+00    6.0328E-04   -4.6006E-03    0.0000E+00   -4.6006E-03    6.0328E-04    0.0000E+00
   5   -1.5375E+02   -1.1679E+00   -1.5258E+02    1.3349E+01    3.5979E-04   -2.8397E-03    1.1073E-03   -2.9116E-03    4.3162E-04    5.3488E-04
  10   -5.6714E+01   -1.7102E+00   -5.5004E+01    9.6987E+00    1.1539E-04   -1.0206E-03    8.0452E-04   -1.1239E-03    2.1872E-04    3.6748E-04
  15    3.3487E+01    2.2432E+00    3.1243E+01   -8.3716E+00   -5.1419E-05    5.7660E-04   -6.9444E-04    7.0814E-04   -1.8296E-04   -2.8739E-04
  20    1.1120E+02    1.3008E+01    9.8190E+01   -3.5738E+01   -9.5437E-05    1.7976E-03   -2.9645E-03    2.5289E-03   -8.2678E-04   -1.0542E-03
  25    1.7570E+02    3.1382E+01    1.4432E+02   -6.7298E+01   -4.0981E-06    2.6121E-03   -5.5825E-03    4.2831E-03   -1.6750E-03   -1.5842E-03
  30    2.2926E+02    5.7314E+01    1.7194E+02   -9.9271E+01    2.1640E-04    3.0634E-03   -8.2346E-03    5.9173E-03   -2.6376E-03   -1.6518E-03
  35    2.7520E+02    9.0540E+01    1.8467E+02   -1.2930E+02    5.5428E-04    3.2192E-03   -1.0726E-02    7.3820E-03   -3.6085E-03   -1.1642E-03
  40    3.1692E+02    1.3094E+02    1.8598E+02   -1.5605E+02    9.9976E-04    3.1449E-03   -1.2945E-02    8.6326E-03   -4.4879E-03   -1.3524E-04
  45    3.5737E+02    1.7869E+02    1.7869E+02   -1.7869E+02    1.5477E-03    2.8925E-03   -1.4822E-02    9.6312E-03   -5.1910E-03    1.3447E-03
  50    3.9901E+02    2.3415E+02    1.6486E+02   -1.9648E+02    2.1974E-03    2.4994E-03   -1.6298E-02    1.0347E-02   -5.6505E-03    3.1275E-03
