1 Program ETUR. Example number 1.
  Five fasteners of titanium.
  Panel 1 of steel.
  Panel 2 of aluminium.
2 Fasteners: N  D  Er  Tr1  Tr2  Pitch
  5  5.0  110000.0  1.0  4.0  20.0
     5.0  110000.0  1.0  4.0  20.0
     5.0  110000.0  1.0  4.0  20.0
     5.0  110000.0  1.0  4.0  20.0
     5.0  110000.0  1.0  4.0  10.0
3 Panel 1: E1  T1  W1  A1
  196000.0  1.0   71.6  1.3E-05
  196000.0  1.0   71.6  1.3E-05
  196000.0  1.0   71.6  1.3E-05
  196000.0  1.0   71.6  1.3E-05
  196000.0  1.0   71.6  1.3E-05
4 Panel 2: E2  T2  W2  A2
   73000.0  4.0  160.0  2.3E-05
   73000.0  4.0  160.0  2.3E-05
   73000.0  4.0  160.0  2.3E-05
   73000.0  4.0  160.0  2.3E-05
   73000.0  4.0  160.0  2.3E-05
5 Delta of temperature 
  80.0
