1 Program ETUR. Example number 2.
  Six fasteners of titanium.
  Panel 1 of titanium.
  Panel 2 of aluminium.
2 Fasteners: N  D  Er  Tr1  Tr2  Pitch
  6  5.0  110000.0  5.0  8.0  15.0
     5.0  110000.0  5.0  8.0  15.0
     5.0  110000.0  5.0  8.0  15.0
     5.0  110000.0  5.0  8.0  15.0
     5.0  110000.0  5.0  8.0  15.0
     5.0  110000.0  5.0  8.0  15.0
3 Panel 1: E1  T1  W1  A1
  110000.0  5.0  77.9  9.0E-06
  110000.0  5.0  77.9  9.0E-06
  110000.0  5.0  77.9  9.0E-06
  110000.0  5.0  77.9  9.0E-06
  110000.0  5.0  77.9  9.0E-06
  110000.0  5.0  77.9  9.0E-06
4 Panel 2: E2  T2  W2  A2
   73000.0  8.0  77.9  2.3E-05
   73000.0  8.0  77.9  2.3E-05
   73000.0  8.0  77.9  2.3E-05
   73000.0  8.0  77.9  2.3E-05
   73000.0  8.0  77.9  2.3E-05
   73000.0  8.0  77.9  2.3E-05
5 Delta of temperature 
  80.0
