1 Program ETUR. Example number 3.
  Four fasteners of titanium.
  Panel 1 of titanium.
  Panel 2 of CFC.
2 Fasteners: N  D  Er  Tr1  Tr2  Pitch
  4  8.0  110000.0  6.0  8.0  32.0
     8.0  110000.0  6.0  8.0  32.0
     8.0  110000.0  6.0  8.0  32.0
     8.0  110000.0  6.0  8.0  20.0
3 Panel 1: E1  T1  W1  A1
  110000.0  6.0  32.0  9.00E-06
  110000.0  6.0  32.0  9.00E-06
  110000.0  6.0  32.0  9.00E-06
  110000.0  6.0  32.0  9.00E-06
4 Panel 2: E2  T2  W2  A2
   62190.0  8.0  32.0  2.33E-06
   62190.0  8.0  32.0  2.33E-06
   62190.0  8.0  32.0  2.33E-06
   62190.0  0.0  32.0  2.33E-06
5 Delta of temperature 
  80.0
