1 Program ETUR. Example number 4.
  Six fasteners of inconel.
  Panel 1 of CFC/aluminium.
  Panel 2 of titanium.
2 Fasteners: N  D  Er  Tr1  Tr2  Pitch
  6  5.0  196000.0  4.0  6.0  20.0
     5.0  196000.0  4.0  6.0  20.0
     5.0  196000.0  4.0  6.0  22.0
     5.0  196000.0  4.0  6.0  20.0
     5.0  196000.0  4.0  6.0  20.0
     5.0  196000.0  4.0  6.0  20.0
3 Panel 1: E1  T1  W1  A1
  110000.0  4.0  20.0  9.00E-06
  110000.0  4.0  20.0  9.00E-06
  110000.0  4.0  20.0  9.00E-06
  110000.0  4.0  20.0  9.00E-06
  110000.0  4.0  20.0  9.00E-06
  110000.0  0.0  20.0  9.00E-06
4 Panel 2: E2  T2  W2  A2
   62190.0  6.0  20.0  2.33E-06
   62190.0  6.0  20.0  2.33E-06
   62190.0  0.0  20.0  2.33E-06
   73000.0  6.0  20.0  2.30E-05
   73000.0  6.0  20.0  2.30E-05
   73000.0  6.0  20.0  2.30E-05
5 Delta of temperature 
  80.0
